#
# Class "hotel_db#client"
#
@w4hotelClientNumber|w4hotelClientTitle|w4hotelClientName|w4hotelClientFirstname|w4hotelClientAddress|w4hotelClientTels
1042|2|Verdier|Elodie|1053|~06 13 32 14 63~
1043|0|Desvaux|Arnaud|1054|~06 46 39 70 40~
1044|2|Duprez|Christine|1055|~06 96 66 13 51~
1045|2|Moulié|Laure|1056|~06 34 81 88 77~
1046|2|Desvaux|Christine|1057|~06 15 16 45 72~
1047|0|Crespin|Roger|1058|~06 17 51 19 80~
1048|2|Miravet|Sylvie|1059|~06 48 93 31 47~
1049|2|Moulié|Sylvie|1060|~06 30 10 31 32~
1050|0|Hernandez|Mathieu|1061|~06 64 99 30 51~
1051|0|Bousquet|Alexandre|1062|~06 20 31 92 80~
1052|0|Xambo|Etienne|1063|~06 56 86 22 48~
1053|0|Crespin|Paul|1064|~06 66 26 78 62~
1054|2|Mayer|Elodie|1065|~06 46 56 91 13~
1055|0|Tessier|Jean-Luc|1066|~06 50 43 43 44~
1056|2|Durand|Sylvie|1067|~06 17 78 41 62~
1057|2|Bousquet|Muriel|1068|~06 97 91 16 14~
1058|0|Spinardi|Roger|1069|~06 49 67 79 98~
1059|0|Bousquet|Mathieu|1070|~06 71 78 44 55~
1060|2|Dutilleul|Sylvie|1071|~06 82 49 54 81~
1061|0|Tessier|Roger|1072|~06 16 91 87 75~
1062|1|Desvaux|Christelle|1073|~06 60 21 58 36~
1063|0|Moulié|Mathieu|1074|~06 32 90 45 97~
1064|0|Tessier|Nicolas|1075|~06 22 65 68 13~
1065|2|Hernandez|Caroline|1076|~06 77 82 72 21~
1066|2|Tessier|Christine|1077|~06 87 41 68 45~
1067|0|Tracou|Gilles|1078|~06 19 86 16 17~
1068|2|Durand|Caroline|1079|~06 77 90 29 66~
1069|1|Desvaux|Isabelle|1080|~06 42 40 71 80~
1070|0|Spinardi|Serge|1081|~06 78 17 62 38~
1071|2|Duprez|Sylvie|1082|~06 99 46 26 89~
1072|0|Hernandez|Serge|1083|~06 46 51 79 67~
1073|2|Desvaux|Elodie|1084|~06 21 24 89 11~
1074|0|Taupin|Etienne|1085|~06 32 48 73 19~
1075|0|Moulié|Thierry|1086|~06 77 65 45 85~
1076|2|Xambo|Brigitte|1087|~06 26 73 74 88~
1077|2|Spinardi|Caroline|1088|~06 99 96 15 14~
1078|0|Tracou|Yann|1089|~06 58 20 99 16~
1079|1|Mermod|Julie|1090|~06 29 88 51 89~
1080|0|Moulié|Roger|1091|~06 73 30 30 94~
1081|2|Delalande|Marie|1092|~06 98 66 28 14~
1082|2|Tracou|Brigitte|1093|~06 90 54 58 87~
1083|0|Testa|Paul|1094|~06 13 13 59 48~
1084|0|Hernandez|Alexandre|1095|~06 68 80 36 96~
1085|0|Spinardi|Gilles|1096|~06 15 45 55 40~
1086|0|Duprez|Mathieu|1097|~06 43 77 96 13~
1087|1|Miravet|Sara|1098|~06 99 69 71 63~
1088|2|Deschamps|Marie|1099|~06 30 77 40 87~
1089|2|Delalande|Sylvie|1100|~06 84 36 91 94~
1090|0|Spinardi|Etienne|1101|~06 91 85 76 12~
1091|1|Desvaux|Sara|1102|~06 93 73 38 44~
1092|2|Duprez|Christine|1103|~06 71 46 40 16~
1093|2|Dutilleul|Brigitte|1104|~06 31 44 64 97~
1094|0|Verdier|Hervé|1105|~06 86 75 49 32~
1095|1|Dutilleul|Sara|1106|~06 17 20 41 69~
1096|2|Bousquet|Brigitte|1107|~06 75 14 80 78~
1097|2|Tessier|Elodie|1108|~06 80 53 93 96~
1098|1|Desvaux|Véronique|1109|~06 80 52 94 17~
1099|2|Dutilleul|Brigitte|1110|~06 59 48 64 47~
# 	--------- END OF FILE -----------   #
